time, indices
698579200, 40000000
1395714400, 80000000
2091619200, 120000000
2793706700, 160000000
3508137900, 200000000
4276495000, 240000000
4878332800, 280000000
5578656000, 320000000
6266344300, 360000000
6969722500, 400000000
7663024900, 440000000
8364576900, 480000000
9051133400, 520000000
9762794000, 560000000
10451009700, 600000000
11139515600, 640000000
11834546000, 680000000
12540648200, 720000000
13236965500, 760000000
14403690300, 800000000
15407505700, 840000000
15622172900, 880000000
16111509700, 920000000
16780595600, 960000000
17408930500, 1000000000
