time, indices
363312200, 40000000
723566400, 80000000
1083764900, 120000000
1454153600, 160000000
1818747000, 200000000
2180011800, 240000000
2543352600, 280000000
2904200800, 320000000
3269485000, 360000000
3640659300, 400000000
3997939800, 440000000
4364755100, 480000000
4709856000, 520000000
5068109400, 560000000
5426102000, 600000000
5821425600, 640000000
6179982300, 680000000
6537625500, 720000000
6899046800, 760000000
7233724700, 800000000
7612017800, 840000000
7970752900, 880000000
8329202700, 920000000
8673336400, 960000000
9039298800, 1000000000
